State,PC No.,PC Name,PC Type,Winner Candidates,winner Party,Votesw,Runner-Up,Party,Votesr
Uttar Pradesh,34,Mohanlalganj,(SC),Kaushal Kishore,BJP,455274,R.K Chaudhary,BSP,309858
Uttar Pradesh,6,Moradabad,GEN,Kunwer Sarvesh Kumar,BJP,485224,Dr S T Hasan,SP,397720
Uttar Pradesh,3,Muzaffarnagar,GEN,(Dr.) Sanjeev Kumar Balyan,BJP,653391,Kadir Rana,BSP,252241
Uttar Pradesh,5,Nagina,(SC),Yashwant Singh,BJP,367825,Yashvir Singh,SP,275435
Uttar Pradesh,51,Phulpur,GEN,Keshav Prasad Maurya,BJP,503564,Dharam Raj Singh Patel,SP,195256
Uttar Pradesh,26,Pilibhit,GEN,Maneka Sanjay Gandhi,BJP,546934,Budhsen Verma,SP,239882
Uttar Pradesh,39,Pratapgarh,GEN,Kuwar Harivansh Singh,AD,375789,Asif Nizamuddin Siddique,BSP,207567
Uttar Pradesh,36,Rae Bareli,GEN,Sonia Gandhi,INC,526434,Ajay Agrawal,BJP,173721
Uttar Pradesh,7,Rampur,GEN,Dr. Nepal Singh,BJP,358616,Naseer Ahmad Khan,SP,335181
Uttar Pradesh,80,Robertsganj,(SC),Chhotelal,BJP,378211,Sharada Prasad,BSP,187725
Uttar Pradesh,1,Saharanpur,GEN,Raghav Lakhanpal,BJP,472999,Imran Masood,INC,407909
Uttar Pradesh,71,Salempur,GEN,Ravindra Kushawaha,BJP,392213,Ravi Shanker Singh (Pappu),BSP,159871
Uttar Pradesh,8,Sambhal,GEN,Satyapal Singh,BJP,360242,Dr Shafiq Ur Rahman Barq,SP,355068
Uttar Pradesh,62,Sant Kabir Nagar,GEN,Sharad Tripathi,BJP,348892,Bhism Shankar Alias Kushal Tiwari,BSP,250914
Uttar Pradesh,78,Sant ravi das nagar (Bhadohi),GEN,Virendra Singh,BJP,403544,Rakesh Dhar Tripathi,BSP,245505
Uttar Pradesh,27,Shahjahanpur,(SC),Krishna Raj,BJP,525132,Umed Singh Kashyap,BSP,289603
Uttar Pradesh,58,Shrawasti,GEN,Daddan Mishra,BJP,345964,Atiq Ahmad,SP,260051
Uttar Pradesh,30,Sitapur,GEN,Rajesh Verma,BJP,417546,Kaiser Jahan,BSP,366519
Uttar Pradesh,38,Sultanpur,GEN,Feroze Varun Gandhi,BJP,410348,Pawan Pandey,BSP,231446
Uttar Pradesh,33,Unnao,GEN,Swami Sachchidanand Hari Sakshi,BJP,518834,Arun Shankar Shukla,SP,208661
Uttar Pradesh,77,Varanasi,GEN,Narendra Modi,BJP,581022,Arvind Kejriwal,AAP,209238
Uttarakhand,3,Almora,(SC),Ajay Tamta,BJP,348186,Pradeep Tamta,INC,252496
Uttarakhand,2,Garhwal,GEN,(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),BJP,405690,(Dr) Harak Singh Rawat,INC,221164
Uttarakhand,5,Hardwar,GEN,Ramesh Pokhriyal Nishank,BJP,592320,Renuka Rawat,INC,414498
Uttarakhand,4,Nainital - Udhamsingh Nagar,GEN,Bhagat Singh Koshyari,BJP,636769,K.C.Singh Baba,INC,352052
Uttarakhand,1,Tehri Garhwal,GEN,Mala Rajya Laxmi Shah,BJP,446733,Saket Bahuguna,INC,254230
West Bengal,2,Alipurduars,(SC),Dasrath Tirkey,AITC,362453,Manohar Tirkey,RSP,341056
West Bengal,29,Arambag,(SC),Aparupa Poddar (Afrin Ali),AITC,748764,Saktimohan Malik,CPM,401919
West Bengal,40,Asansol,GEN,Babul Supriya Baral (Babul Supriyo),BJP,419983,Dola Sen,AITC,349503
West Bengal,10,Baharampur,GEN,Adhir Ranjan Chowdhury,INC,583549,Indranil Sen,AITC,226982
West Bengal,6,Balurghat,GEN,Arpita Ghosh,AITC,409641,Bimalendu Sarkar (Bimal),RSP,302677
West Bengal,14,Bangaon,(SC),Mamata Thakur,AITC,539999,Debesh Das,CPM,328214
West Bengal,36,Bankura,GEN,Sreemati Dev Varma (Moon Moon Sen),AITC,483455,Acharia Basudeb,CPM,384949
West Bengal,15,Barakpur,GEN,Dinesh Trivedi,AITC,479206,Subhashini Ali,CPM,272433
West Bengal,17,Barasat,GEN,Dr. Kakali Ghoshdostidar,AITC,525387,Dr. Mortoza Hossain,AIFB,352246
West Bengal,39,Barddhaman - Durgapur,GEN,Dr. Mamtaz Sanghamita,AITC,554521,Sk. Saidul Haque,CPM,447190
West Bengal,38,Barddhaman Purba,(SC),Sunil Kumar Mondal,AITC,574660,Iswar Chandra Das,CPM,460181
West Bengal,18,Basirhat,GEN,Idris Ali,AITC,492326,Nurul Huda,CPI,382667
West Bengal,42,Birbhum,GEN,Satabdi Roy (Banerjee),AITC,460568,Dr. Elahi Kamre Muhammad,CPM,393305
West Bengal,37,Bishnupur,(SC),Khan Saumitra,AITC,578870,Susmita Bauri,CPM,429185
West Bengal,41,Bolpur,(SC),Anupam Hazra,AITC,630693,Dome Ramchandra,CPM,394581
West Bengal,4,Darjiling,GEN,S.S.Ahluwalia,BJP,488257,Bhai Chung Bhutia,AITC,291018
West Bengal,21,Diamond Harbour,GEN,Abhishek Banerjee,AITC,508481,Dr. Abul Hasnat,CPM,437183
West Bengal,16,Dum Dum,GEN,Saugata Roy,AITC,483244,Asim Kumar Dasgupta,CPM,328310
West Bengal,32,Ghatal,GEN,Adhikari Deepak (Dev),AITC,685696,Santosh Rana,CPI,424805
West Bengal,25,Haora,GEN,Prasun Banerjee,AITC,488461,Sridip Bhattacharya,CPM,291505
West Bengal,28,Hugli,GEN,Dr. Ratna De (Nag),AITC,614312,Pradip Saha,CPM,425228
West Bengal,22,Jadavpur,GEN,Sugata Bose,AITC,584244,Sujan Chakraborty,CPM,459041
West Bengal,3,Jalpaiguri,(SC),Bijoy Chandra Barman,AITC,494773,Mahendra Kumar Roy,CPM,425167
West Bengal,9,Jangipur,GEN,Abhijit Mukherjee,INC,378201,Muzaffar Hossain,CPM,370040
West Bengal,19,Jaynagar,(SC),Pratima Mondal,AITC,494746,Subhas Naskar,RSP,386362
West Bengal,33,Jhargram,(ST),Uma Saren,AITC,674504,Dr. Pulin Bihari Baske,CPM,326621
West Bengal,31,Kanthi,GEN,Adhikari Sisir Kumar,AITC,676749,Sinha Tapas,CPM,447259
West Bengal,1,Koch Bihar,(SC),Renuka Sinha,AITC,526499,Dipak Kumar Roy,AIFB,439392
West Bengal,23,Kolkata Dakshin,GEN,Subrata Bakshi,AITC,431715,Tathagata Roy,BJP,295376
West Bengal,24,Kolkata Uttar,GEN,Sudip Bandyopadhyay,AITC,343687,Rahul (Biswajit) Sinha,BJP,247461
West Bengal,12,Krishnanagar,GEN,Tapas Paul,AITC,438789,Jha Shantanu,CPM,367534
West Bengal,8,Maldah Dakshin,GEN,Abu Hasem Khan Chowdhury,INC,380291,Bisnu Pada Roy,BJP,216180
West Bengal,7,Maldah Uttar,GEN,Mausam Noor,INC,388609,Khagen Murmu,CPM,322904
West Bengal,20,Mathurapur,(SC),Choudhury Mohan Jatua,AITC,627761,Rinku Naskar,CPM,489325
West Bengal,34,Medinipur,GEN,Sandhya Roy,AITC,579860,Prabodh Panda,CPI,395194
West Bengal,11,Murshidabad,GEN,Badaruddoza Khan,CPM,426947,Abdul Mannan Hossain,INC,408494
West Bengal,35,Puruliya,GEN,Dr. Mriganka Mahato,AITC,468277,Narahari Mahato,AIFB,314400
West Bengal,5,Raiganj,GEN,Md. Salim,CPM,317515,Deepa Dasmunsi,INC,315881
West Bengal,13,Ranaghat,(SC),Tapas Mandal,AITC,590451,Archana Biswas,CPM,388684
West Bengal,27,Shrirampur,GEN,Kalyan Banerjee,AITC,514933,Tirthankar Ray,CPM,362407
West Bengal,30,Tamluk,GEN,Adhikari Suvendu,AITC,716928,Sekh Ibrahim Ali,CPM,470447
West Bengal,26,Uluberiya,GEN,Sultan Ahmed,AITC,570785,Sabir Uddin Molla,CPM,369563
